date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:18	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/loader.gif	(from https://static.itch.io/game.css?1720466429)
11:49:18	1490/1490	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-739%22	https://static.itch.io/images/loader-dark.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/loader-dark.gif	(from https://static.itch.io/game.css?1720466429)
11:49:18	4670/4670	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-1aa4%22	https://static.itch.io/images/loader-huge.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/loader-huge.gif	(from https://static.itch.io/game.css?1720466429)
11:49:18	307/307	---M--	200	added ('OK')	image/gif	etag:%225b09c3f7-194%22	https://static.itch.io/images/cc-loader.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/cc-loader.gif	(from https://static.itch.io/game.css?1720466429)
11:49:19	306/306	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624b674a-132%22	https://static.itch.io/images/play_icon.svg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/play_icon.svg	(from https://static.itch.io/game.css?1720466429)
11:49:19	663/663	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-297%22	https://static.itch.io/images/youtube_icon.svg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/youtube_icon.svg	(from https://static.itch.io/game.css?1720466429)
11:49:19	1005/1005	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225b091d66-3ed%22	https://static.itch.io/images/twitch_logo.svg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/twitch_logo.svg	(from https://static.itch.io/game.css?1720466429)
11:49:19	2691/2691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-a83%22	https://static.itch.io/images/loading.svg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/loading.svg	(from https://static.itch.io/game.css?1720466429)
11:49:19	173/173	---M--	200	added ('OK')	image/png	etag:%225ac04077-209%22	https://static.itch.io/images/popup-tick-right.png	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/popup-tick-right.png	(from https://static.itch.io/game.css?1720466429)
11:49:20	229/229	---M--	200	added ('OK')	image/png	etag:%225ac04077-1fa%22	https://static.itch.io/images/popup-tick-left.png	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/popup-tick-left.png	(from https://static.itch.io/game.css?1720466429)
11:49:20	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/fonts/04b03.eot	(from https://static.itch.io/game.css?1720466429)
11:49:21	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://static.itch.io/fonts/04b03.eot?	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/fonts/04b03d41d.eot	(from https://static.itch.io/game.css?1720466429)
11:49:21	4888/4888	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1318%22	https://static.itch.io/fonts/04b03.woff2	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/fonts/04b03.woff2	(from https://static.itch.io/game.css?1720466429)
11:49:21	6488/6488	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-1958%22	https://static.itch.io/fonts/04b03.woff	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/fonts/04b03.woff	(from https://static.itch.io/game.css?1720466429)
11:49:21	17304/17304	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-4398%22	https://static.itch.io/fonts/04b03.ttf	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/fonts/04b03.ttf	(from https://static.itch.io/game.css?1720466429)
11:49:21	10294/10294	---M--	200	added ('OK')	image/png	etag:%225ac04077-2dd5%22	https://static.itch.io/lib/farbtastic/wheel.png	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/lib/farbtastic/wheel.png	(from https://static.itch.io/game.css?1720466429)
11:49:22	1581/1581	---M--	200	added ('OK')	image/png	etag:%225ac04077-7e4%22	https://static.itch.io/lib/farbtastic/mask.png	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/lib/farbtastic/mask.png	(from https://static.itch.io/game.css?1720466429)
11:49:22	376/376	---M--	200	added ('OK')	image/png	etag:%225ac04077-28c%22	https://static.itch.io/lib/farbtastic/marker.png	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/lib/farbtastic/marker.png	(from https://static.itch.io/game.css?1720466429)
11:49:22	45450/45450	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c193f7f-b18a%22	https://static.itch.io/images/snowrepeat.svg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/images/snowrepeat.svg	(from https://static.itch.io/game.css?1720466429)
11:49:22	12688/12688	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-3190%22	https://static.itch.io/icons/fonts/icomoon.eot?4ibnvg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/icons/fonts/icomoon053c.eot	(from https://static.itch.io/game.css?1720466429)
11:49:23	12524/12524	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-30ec%22	https://static.itch.io/icons/fonts/icomoon.ttf?4ibnvg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/icons/fonts/icomoon053c.ttf	(from https://static.itch.io/game.css?1720466429)
11:49:23	12600/12600	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-3138%22	https://static.itch.io/icons/fonts/icomoon.woff?4ibnvg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/icons/fonts/icomoon053c.woff	(from https://static.itch.io/game.css?1720466429)
11:49:23	40264/40264	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ac04077-9d48%22	https://static.itch.io/icons/fonts/icomoon.svg?4ibnvg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/icons/fonts/icomoon053c.svg	(from https://static.itch.io/game.css?1720466429)
11:49:24	5096/5096	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266198a95-13e8%22	https://etiennefontanille.itch.io/static/worker.min.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/static/worker.min.js	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:24	937/937	---MC-	200	added ('OK')	text/javascript	date:Wed,%2010%20Jul%202024%2008:49:24%20GMT	https://www.google.com/recaptcha/api.js?onload=_itch_recaptcha_loaded&render=explicit	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/www.google.com/recaptcha/apie757.js	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:24	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2010%20Jul%202024%2008:49:24%20GMT	http://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/connect.facebook.net/en_GB/sdk.41.delayed	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:25	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%229fc02598b348fef90719ce44034d8d39%22	https://connect.facebook.net/en_GB/sdk.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/connect.facebook.net/en_GB/sdk.js	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:25	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	http://platform.twitter.com/widgets.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/platform.twitter.com/widgets.js	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:25	7593/7593	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202024%2008:49:25%20GMT	https://etiennefontanille.itch.io/ca.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/ca.gif	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:26	7594/7594	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jul%202024%2008:49:26%20GMT	https://etiennefontanille.itch.io/POST	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/POST	(from https://static.itch.io/bundle.min.js?1720466429)
11:49:27	72828/72828	---MCZ	200	added ('OK')	text/css	etag:W/%22667dd82a-11c7c%22	https://static.itch.io/user.css?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/user5c2b.css	(from https://etiennefontanille.itch.io/)
11:49:27	5053/5053	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266198a96-13bd%22	https://static.itch.io/user.min.js?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/user.min5c2b.js	(from https://etiennefontanille.itch.io/)
11:49:40	191003/191003	---M--	200	added ('OK')	text/javascript	etag:4393365370903932056	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://static.itch.io/game.min.js?1720466429)
11:49:41	29895/29895	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2008:49:29%20GMT	https://etiennefontanille.itch.io/fire-boy	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/fire-boy.html	(from https://etiennefontanille.itch.io/)
11:49:41	1060919/1060919	---M--	200	added ('OK')	image/gif	date:Wed,%2010%20Jul%202024%2008:49:28%20GMT	https://img.itch.zone/aW1nLzE2NzgxMjM2LmdpZg==/original/hIJp8d.gif	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/img.itch.zone/aW1nLzE2NzgxMjM2LmdpZg==/original/hIJp8d.gif	(from https://etiennefontanille.itch.io/)
11:49:42	27335/27335	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2008:49:41%20GMT	https://etiennefontanille.itch.io/auxin	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/auxin.html	(from https://etiennefontanille.itch.io/)
11:49:42	150/150	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac04077-f9%22	https://static.itch.io/robots.txt		(from https://static.itch.io/game.css?1720466429)
